Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1371916;1000007024386575100;63853788262908;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.158, -0.312, 0.937);(0.000, 0.000, 0.000);63.800;VALID;(0.193, -0.310, 0.931);(-0.032, 0.000, 0.000);0.349;2.131;6.101;VALID;(-0.326, -0.299, 0.897);(0.032, 0.000, 0.000);0.330;2.050;6.211;0.1181757;0
1371917;1000007024391608100;63853788262908;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.155, -0.312, 0.937);(0.000, 0.000, 0.000);63.800;VALID;(0.191, -0.310, 0.931);(-0.032, 0.000, 0.000);0.350;2.133;6.101;VALID;(-0.327, -0.299, 0.897);(0.032, 0.000, 0.000);0.329;2.044;6.211;0.1184941;0
1371918;1000007024396627000;63853788262908;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.167, -0.303, 0.938);(0.000, 0.000, 0.000);63.800;VALID;(0.193, -0.297, 0.935);(-0.032, 0.000, 0.000);0.350;2.135;6.101;VALID;(-0.328, -0.290, 0.899);(0.032, 0.000, 0.000);0.328;2.035;6.211;0.1176797;0
1371924;1000007024426722000;63853788262908;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.179, -0.287, 0.941);(0.000, 0.000, 0.000);63.800;VALID;(0.197, -0.279, 0.940);(-0.032, 0.000, 0.000);0.346;2.110;6.101;VALID;(-0.329, -0.276, 0.903);(0.032, 0.000, 0.000);0.326;2.028;6.211;0.1163661;0
1371926;1000007024436685000;63853788262908;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.187, -0.271, 0.944);(0.000, 0.000, 0.000);63.800;VALID;(0.202, -0.262, 0.944);(-0.032, 0.000, 0.000);0.344;2.097;6.101;VALID;(-0.331, -0.261, 0.907);(0.032, 0.000, 0.000);0.326;2.027;6.211;0.1148313;0
1371928;1000007024446722800;63853788262908;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.193, -0.258, 0.946);(0.000, 0.000, 0.000);63.800;VALID;(0.206, -0.250, 0.946);(-0.032, 0.000, 0.000);0.343;2.091;6.101;VALID;(-0.332, -0.248, 0.910);(0.032, 0.000, 0.000);0.326;2.028;6.211;0.1135884;0
1371929;1000007024451745700;63853788262908;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.198, -0.247, 0.948);(0.000, 0.000, 0.000);63.800;VALID;(0.211, -0.240, 0.948);(-0.032, 0.000, 0.000);0.341;2.083;6.101;VALID;(-0.333, -0.238, 0.912);(0.032, 0.000, 0.000);0.326;2.028;6.211;0.1124163;0
1371930;1000007024456764600;63853788262908;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.201, -0.238, 0.950);(0.000, 0.000, 0.000);63.800;VALID;(0.215, -0.232, 0.949);(-0.032, 0.000, 0.000);0.341;2.078;6.101;VALID;(-0.334, -0.229, 0.914);(0.032, 0.000, 0.000);0.327;2.032;6.211;0.1113246;0
1371931;1000007024461739700;63853788262908;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.203, -0.230, 0.952);(0.000, 0.000, 0.000);63.800;VALID;(0.219, -0.225, 0.950);(-0.032, 0.000, 0.000);0.340;2.073;6.101;VALID;(-0.334, -0.221, 0.916);(0.032, 0.000, 0.000);0.329;2.040;6.211;0.1103296;0
1371932;1000007024466773600;63853788262908;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.204, -0.221, 0.954);(0.000, 0.000, 0.000);63.800;VALID;(0.223, -0.217, 0.950);(-0.032, 0.000, 0.000);0.339;2.069;6.101;VALID;(-0.335, -0.213, 0.918);(0.032, 0.000, 0.000);0.329;2.045;6.211;0.1093754;0
