Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2166235;1000014452506155100;63854831301034;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.124, 0.099, 0.987);(0.000, 0.000, 0.000);61.725;VALID;(0.130, 0.098, 0.987);(-0.031, 0.000, 0.000);0.275;2.006;7.305;VALID;(0.118, 0.099, 0.988);(0.031, 0.000, 0.000);0.293;1.913;6.536;2;0
2166236;1000014452511177000;63854831301034;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.122, 0.097, 0.988);(0.000, 0.000, 0.000);61.725;VALID;(0.127, 0.097, 0.987);(-0.031, 0.000, 0.000);0.275;2.006;7.305;VALID;(0.116, 0.098, 0.988);(0.031, 0.000, 0.000);0.293;1.913;6.536;2;0
2166237;1000014452516202800;63854831301034;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.119, 0.096, 0.988);(0.000, 0.000, 0.000);61.725;VALID;(0.124, 0.096, 0.988);(-0.031, 0.000, 0.000);0.274;2.005;7.305;VALID;(0.114, 0.096, 0.989);(0.031, 0.000, 0.000);0.293;1.914;6.536;2;0
2166238;1000014452521224700;63854831301034;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.117, 0.094, 0.989);(0.000, 0.000, 0.000);61.725;VALID;(0.121, 0.094, 0.988);(-0.031, 0.000, 0.000);0.274;2.005;7.305;VALID;(0.113, 0.094, 0.989);(0.031, 0.000, 0.000);0.293;1.915;6.536;2;0
2166239;1000014452526246600;63854831301034;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.115, 0.093, 0.989);(0.000, 0.000, 0.000);61.725;VALID;(0.118, 0.093, 0.989);(-0.031, 0.000, 0.000);0.274;2.005;7.305;VALID;(0.111, 0.093, 0.990);(0.031, 0.000, 0.000);0.293;1.915;6.536;2;0
2166240;1000014452531268500;63854831301034;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.112, 0.092, 0.989);(0.000, 0.000, 0.000);61.725;VALID;(0.116, 0.092, 0.989);(-0.031, 0.000, 0.000);0.274;2.004;7.305;VALID;(0.108, 0.092, 0.990);(0.031, 0.000, 0.000);0.293;1.917;6.536;2;0.03427644
2166241;1000014452536290400;63854831301034;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.110, 0.090, 0.990);(0.000, 0.000, 0.000);61.725;VALID;(0.114, 0.090, 0.989);(-0.031, 0.000, 0.000);0.274;2.004;7.305;VALID;(0.107, 0.090, 0.990);(0.031, 0.000, 0.000);0.293;1.918;6.536;2;0.1512828
2166242;1000014452541304100;63854831301034;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.109, 0.089, 0.990);(0.000, 0.000, 0.000);61.725;VALID;(0.112, 0.089, 0.990);(-0.031, 0.000, 0.000);0.274;2.004;7.305;VALID;(0.105, 0.089, 0.990);(0.031, 0.000, 0.000);0.294;1.919;6.536;2;0.1791165
2166243;1000014452546230500;63854831301034;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.108, 0.088, 0.990);(0.000, 0.000, 0.000);61.725;VALID;(0.111, 0.088, 0.990);(-0.031, 0.000, 0.000);0.274;2.004;7.305;VALID;(0.104, 0.088, 0.991);(0.031, 0.000, 0.000);0.294;1.920;6.536;2;0.2169488
2166244;1000014452551244200;63854831301034;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.106, 0.087, 0.991);(0.000, 0.000, 0.000);61.725;VALID;(0.109, 0.087, 0.990);(-0.031, 0.000, 0.000);0.274;2.004;7.305;VALID;(0.103, 0.087, 0.991);(0.031, 0.000, 0.000);0.294;1.921;6.536;2;0.218853
